red_wins,black_wins,epsilon,game_length,loss,mae,avg,med,std
1,0,0.999696,0.35714285714285715,0.021386159166024044,0.029154986698813445,-0.07192825700622052,0.02181508857756853,0.389588463485515
1,1,0.999392,0.5952380952380952,0.028357675284414796,0.03365552238665259,-0.10830641607753932,0.018024010583758354,0.41968482436596005
1,2,0.999088,0.6190476190476191,0.01475153451854716,0.020908655044877378,-0.01958180230576545,0.013237547129392624,0.30580700104211167
1,3,0.998784,0.4523809523809524,0.027462569991008934,0.033276184840360656,-0.057675025818753056,0.005864237202331424,0.4291944093660941
2,3,0.99848,0.35714285714285715,0.014120725312356752,0.018105680301005123,0.03564196809020359,0.0029762093909084797,0.30415223852202383
2,4,0.998176,0.40476190476190477,0.023090771699536106,0.02930304375149717,0.0010235798981739208,0.04525808244943619,0.39718293116838205
2,5,0.997872,0.6190476190476191,0.010259966559033273,0.017984197962505277,0.05194218608085066,0.056626586243510246,0.25037993424254124
3,5,0.997568,0.5714285714285714,0.01869317997416431,0.024739190568652702,-0.02315467654261738,0.04520830139517784,0.3552985179591156
4,5,0.997264,0.6428571428571429,0.032865601151018886,0.036139260514573834,-0.009031333727762103,0.02247633785009384,0.4683331998819582
4,6,0.99696,0.35714285714285715,0.02315978897366586,0.02802270201559054,0.06394545250805095,0.04273260943591595,0.3917523453586181
5,6,0.996656,0.6428571428571429,0.01459934020909866,0.01871730249808934,0.06921380152925849,0.042123015969991684,0.30091845775620374
6,6,0.996352,0.38095238095238093,0.009180169816525696,0.012532329692248823,0.03450364852324128,0.0362854041159153,0.25017281906314975
7,6,0.996048,0.5,0.01814408415381763,0.020477812366152648,0.027154161711223423,0.03111185785382986,0.353704376080883
8,6,0.995744,0.8571428571428571,0.02736309420214411,0.03162015523048467,0.09512816753704101,0.04198629967868328,0.4240533295204227
9,6,0.99544,0.21428571428571427,0.01768885272202425,0.023095638582162792,-0.016940316185355186,0.05167398601770401,0.3564916528025369
10,6,0.995136,0.38095238095238093,0.014806486593060664,0.019628208858065932,-0.051647496526129544,0.04596251994371414,0.3050316711520731
11,6,0.994832,0.5,0.00898632308256932,0.016352148235853292,0.04111092945095152,0.04241221584379673,0.25025032016237164
12,6,0.994528,0.6666666666666666,0.014230719948228998,0.02172954171373931,-0.04781326209194958,0.05125826597213745,0.30625830651240765
12,7,0.994224,0.5714285714285714,0.010062389888261691,0.018553564690591884,0.04015012981835753,0.042315609753131866,0.25022326215278146
13,7,0.99392,0.5238095238095238,0.022083172907713333,0.02679959187298664,-0.12556882080389187,0.03768891654908657,0.3763131623000039
13,8,0.993616,0.5714285714285714,0.02753927903581177,0.03433893689634715,-0.04168774595018476,0.02569482382386923,0.4316206218155774
13,9,0.993312,0.5476190476190477,0.012057981952523278,0.01805137234623544,-0.07472346222493798,0.020654188469052315,0.29760198773153934
